time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2024-01-01,3.3,7.4,-0.0,0.00,0.00,0.0,14.3,4.77
2024-01-02,-0.2,5.5,-4.8,0.00,0.00,0.0,13.7,9.00
2024-01-03,1.2,7.5,-2.5,0.00,0.00,0.0,14.4,8.36
2024-01-04,1.8,6.6,-2.3,0.00,0.00,0.0,26.9,6.45
2024-01-05,-2.0,2.9,-5.6,0.00,0.00,0.0,20.5,9.23
2024-01-06,-1.3,2.5,-5.4,3.40,5.32,8.0,29.1,2.84
2024-01-07,1.3,2.3,-0.4,5.90,0.98,14.0,27.0,2.78
2024-01-08,1.2,6.1,-3.4,0.00,0.00,0.0,20.1,9.35
2024-01-09,3.0,12.4,-4.8,31.50,0.00,12.0,57.3,1.63
2024-01-10,9.0,13.6,5.0,28.20,0.00,5.0,48.6,6.41
2024-01-11,4.3,7.9,-0.2,0.00,0.00,0.0,22.9,8.88
2024-01-12,3.8,7.9,-2.2,0.80,0.00,2.0,22.1,8.74
2024-01-13,8.9,14.4,1.6,22.90,0.00,11.0,34.2,5.74
2024-01-14,-0.1,6.1,-4.0,0.10,0.28,3.0,36.4,7.26
2024-01-15,-3.7,-1.0,-6.1,0.00,0.56,3.0,11.4,7.88
2024-01-16,-3.0,-1.1,-5.9,4.20,3.71,19.0,23.2,1.51
2024-01-17,-6.7,-4.4,-9.2,0.00,0.00,0.0,23.8,10.69
2024-01-18,-3.7,0.2,-7.0,0.00,0.28,3.0,17.1,5.36
2024-01-19,-2.7,-1.1,-4.8,0.00,1.89,14.0,16.5,3.92
2024-01-20,-6.3,-3.6,-8.4,0.00,0.00,0.0,26.2,10.24
2024-01-21,-5.2,-1.4,-7.7,0.00,0.00,0.0,23.6,10.95
2024-01-22,-2.7,3.4,-7.2,0.00,0.00,0.0,17.6,10.48
2024-01-23,0.8,4.3,-1.9,1.70,0.00,4.0,18.8,3.42
2024-01-24,2.6,5.3,-0.1,3.20,0.00,18.0,10.5,2.31
2024-01-25,8.6,11.1,4.9,5.60,0.00,19.0,21.2,2.04
2024-01-26,5.9,8.1,3.0,4.60,0.00,13.0,15.7,2.79
2024-01-27,5.1,8.3,2.5,0.00,0.00,0.0,13.0,6.15
2024-01-28,3.1,4.0,2.2,21.30,0.00,23.0,28.8,1.81
2024-01-29,2.7,5.6,0.3,0.70,0.00,6.0,27.6,6.68
2024-01-30,0.2,4.1,-4.2,0.00,0.00,0.0,12.1,8.88
2024-01-31,1.9,4.2,-1.4,0.20,0.00,2.0,11.2,4.82
2024-02-01,2.0,8.8,-3.6,0.60,0.00,2.0,19.8,8.46
2024-02-02,3.5,5.8,1.7,6.30,0.00,15.0,22.6,2.74
2024-02-03,0.9,5.8,-3.4,0.00,0.00,0.0,24.2,12.09
2024-02-04,0.7,7.3,-4.0,0.00,0.00,0.0,14.8,12.44
2024-02-05,0.7,6.8,-3.5,0.00,0.00,0.0,28.2,12.58
2024-02-06,-0.5,5.4,-5.1,0.00,0.00,0.0,19.1,12.63
2024-02-07,1.3,7.9,-3.9,0.00,0.00,0.0,12.7,12.62
2024-02-08,1.9,9.8,-4.0,0.00,0.00,0.0,10.5,12.52
2024-02-09,5.0,11.1,0.7,0.00,0.00,0.0,14.9,10.66
2024-02-10,8.0,15.6,1.6,0.10,0.00,1.0,16.6,8.46
2024-02-11,6.6,8.8,3.4,0.00,0.00,0.0,15.6,6.16
2024-02-12,3.7,8.9,-2.0,0.10,0.00,1.0,11.3,11.68
2024-02-13,0.7,3.2,-1.5,0.40,19.11,14.0,25.6,7.02
2024-02-14,-2.2,0.1,-4.5,0.00,0.00,0.0,25.7,14.97
2024-02-15,-1.2,2.6,-5.6,0.00,0.14,1.0,22.3,12.60
2024-02-16,1.1,4.8,-2.2,0.00,0.00,0.0,31.2,14.84
2024-02-17,-1.2,2.0,-4.8,0.10,4.06,14.0,21.7,12.40
2024-02-18,-2.2,4.7,-6.5,0.00,0.00,0.0,29.4,15.31
2024-02-19,-0.6,3.9,-4.3,0.00,0.00,0.0,20.8,15.61
2024-02-20,-2.9,2.1,-6.7,0.00,0.00,0.0,13.1,15.62
2024-02-21,-1.4,4.3,-5.8,0.00,0.00,0.0,15.0,11.09
2024-02-22,0.8,6.6,-5.3,0.30,0.00,3.0,19.8,13.31
2024-02-23,4.3,8.0,1.1,3.10,0.00,10.0,12.8,6.24
2024-02-24,2.0,5.3,-3.1,0.00,0.00,0.0,21.4,13.00
2024-02-25,-2.4,3.8,-7.6,0.00,0.00,0.0,16.2,16.50
2024-02-26,3.1,11.2,-2.4,0.50,1.68,2.0,13.5,13.94
2024-02-27,7.4,13.7,-0.3,3.80,0.00,4.0,26.1,14.37
2024-02-28,13.4,16.9,9.9,15.70,0.00,19.0,34.2,5.98
2024-02-29,0.8,6.5,-3.0,0.10,0.00,1.0,30.7,12.62
2024-03-01,0.6,5.7,-4.6,0.00,0.00,0.0,20.3,16.78
2024-03-02,6.4,9.9,1.6,28.10,0.00,16.0,26.5,2.14
2024-03-03,11.4,18.5,5.7,0.00,0.00,0.0,15.8,16.64
2024-03-04,8.0,14.1,3.5,0.00,0.00,0.0,21.8,12.96
2024-03-05,6.3,8.2,3.7,20.30,0.00,15.0,20.1,2.16
2024-03-06,6.9,9.6,3.4,33.20,0.00,10.0,20.6,3.81
2024-03-07,9.5,12.4,5.6,3.50,0.00,9.0,28.0,6.51
